,0
0,-4.061565087547945e-11
1,2.997684451288897e-10
2,-1.3620826344099017e-10
3,-7.133565485214652e-11
4,3.0621225686536364e-09
5,8.374755754107486e-09
6,-1.209278687332588e-10
7,-6.45153925051783e-11
8,2.393586630853364e-09
9,3.764434197037899e-09
10,-1.142600041811e-10
11,-6.115151420742691e-11
12,1.804747800236155e-09
13,4.292998032367258e-09
14,-1.137269064102785e-10
15,-7.25424725913478e-11
16,2.6996411704431583e-09
17,5.857449659164179e-09
18,-1.1941952169468576e-10
19,-9.04141318980473e-11
20,7.326749617325274e-09
21,8.323677033172601e-09
22,-1.3028864749301595e-10
23,-1.0785240367285256e-10
24,2.9999999554476338
25,1.3588751120204518e-09
26,-1.4825200655855196e-10
27,-1.2098666711056423e-10
28,1.1924744208038916e-08
29,4.090950202151253e-09
30,-1.3259644459194896e-10
31,-1.313068425985332e-10
32,3.8717658266254604e-09
33,3.127199489978372e-09
34,-1.3045742773952752e-10
35,-1.4016341570860088e-10
36,3.257533373272481e-09
37,3.0798962929648237e-09
38,-1.3060673448286024e-10
39,-1.4835150220175314e-10
40,4.017366245484891e-09
41,3.364293229168132e-09
42,-1.3228641442801572e-10
43,-1.5589485839384904e-10
44,1.2912335412088953e-08
45,4.6410769432988756e-09
46,-1.3130637020198424e-10
47,-1.6288403454419884e-10
48,2.999999951841354
49,2.6823405151575316e-09
50,-1.2654600243983114e-10
51,-1.671525015501141e-10
52,1.2742120509267316e-08
53,3.0886244425036784e-09
54,-1.362633237301408e-10
55,-1.689534905640969e-10
56,3.877703776504838e-09
57,2.8368962760107527e-09
58,-1.3359318814629292e-10
59,-1.6837520882659108e-10
60,3.545971378135262e-09
61,2.777518605768606e-09
62,-1.3120817987468784e-10
63,-1.6621635027581815e-10
64,3.7280124204993365e-09
65,2.9979242303490755e-09
66,-1.29988096269589e-10
67,-1.635305866945848e-10
68,1.4359887234259008e-08
69,2.397418950427579e-09
70,-1.3318543387735434e-10
71,-1.6415505340504722e-10
72,2.999999952829826
