  
       XFOIL         Version 6.99
  
 Calculated polar for: modified_NACA0012                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    27.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1393   0.00560   0.00118  -0.0200   0.2642   0.2507
   0.250   0.1686   0.00561   0.00120  -0.0201   0.2543   0.2619
   0.750   0.2269   0.00562   0.00122  -0.0205   0.2412   0.2828
   1.000   0.2566   0.00562   0.00123  -0.0207   0.2366   0.2903
   1.250   0.2853   0.00564   0.00125  -0.0208   0.2295   0.3044
   1.500   0.3148   0.00567   0.00128  -0.0210   0.2214   0.3119
   1.750   0.3438   0.00567   0.00130  -0.0212   0.2169   0.3250
   2.000   0.3728   0.00572   0.00134  -0.0213   0.2068   0.3364
   2.250   0.4022   0.00573   0.00135  -0.0215   0.2041   0.3457
   2.500   0.4308   0.00579   0.00140  -0.0216   0.1957   0.3581
   2.750   0.4602   0.00580   0.00143  -0.0219   0.1911   0.3664
   3.000   0.4888   0.00586   0.00148  -0.0219   0.1846   0.3805
   3.250   0.5180   0.00590   0.00152  -0.0221   0.1775   0.3879
   3.500   0.5466   0.00594   0.00157  -0.0222   0.1730   0.4035
   3.750   0.5755   0.00601   0.00163  -0.0224   0.1648   0.4101
   4.000   0.6045   0.00603   0.00167  -0.0225   0.1626   0.4255
   4.250   0.6328   0.00613   0.00175  -0.0226   0.1548   0.4355
   4.500   0.6617   0.00615   0.00179  -0.0228   0.1514   0.4484
   4.750   0.6901   0.00624   0.00187  -0.0228   0.1459   0.4591
   5.000   0.7187   0.00629   0.00192  -0.0229   0.1404   0.4705
   5.250   0.7471   0.00637   0.00200  -0.0230   0.1367   0.4834
   5.500   0.7752   0.00645   0.00208  -0.0231   0.1298   0.4928
   5.750   0.8037   0.00650   0.00214  -0.0232   0.1275   0.5086
   6.000   0.8315   0.00662   0.00225  -0.0232   0.1210   0.5165
   6.250   0.8599   0.00667   0.00231  -0.0233   0.1186   0.5330
   6.500   0.8876   0.00679   0.00242  -0.0232   0.1140   0.5441
   6.750   0.9156   0.00686   0.00250  -0.0233   0.1096   0.5573
   7.000   0.9435   0.00694   0.00259  -0.0233   0.1071   0.5704
   7.250   0.9708   0.00707   0.00270  -0.0232   0.1015   0.5799
   7.500   0.9988   0.00713   0.00279  -0.0233   0.0999   0.5960
   7.750   1.0258   0.00727   0.00291  -0.0231   0.0961   0.6058
   8.000   1.0532   0.00735   0.00301  -0.0231   0.0924   0.6227
   8.250   1.0805   0.00746   0.00313  -0.0230   0.0902   0.6362
   8.500   1.1071   0.00760   0.00326  -0.0229   0.0860   0.6467
   9.000   1.1606   0.00783   0.00351  -0.0226   0.0811   0.6759
   9.250   1.1871   0.00795   0.00363  -0.0224   0.0777   0.6906
   9.500   1.2139   0.00805   0.00376  -0.0223   0.0766   0.7074
   9.750   1.2395   0.00821   0.00392  -0.0220   0.0738   0.7170
  10.000   1.2654   0.00834   0.00406  -0.0217   0.0708   0.7342
